Player,Tm,Age,Pos,Games,Games Started,Completions,Pass Atts,Pass Yards,Pass TDs,Interceptions,Passer Rating,Rush Atts,Rush Yards,Rush TDs
Justin Herbert,,25.0,QB,13.0,13.0,297.0,456.0,3134.0,20.0,7.0,93.2,52.0,228.0,3.0
Russell Wilson,,35.0,QB,15.0,15.0,297.0,447.0,3070.0,26.0,8.0,98.0,80.0,341.0,3.0
Bryce Young,,22.0,QB,16.0,16.0,315.0,527.0,2877.0,11.0,10.0,73.7,39.0,253.0,0.0
Desmond Ridder,,24.0,QB,15.0,13.0,249.0,388.0,2836.0,12.0,12.0,83.4,53.0,193.0,5.0
Justin Fields,,24.0,QB,13.0,13.0,227.0,370.0,2562.0,16.0,9.0,86.3,124.0,657.0,4.0
Joshua Dobbs,,28.0,QB,13.0,12.0,262.0,417.0,2464.0,13.0,10.0,79.5,47.0,258.0,3.0
Joshua Dobbs,,28.0,QB,13.0,12.0,262.0,417.0,2464.0,13.0,10.0,79.5,30.0,163.0,3.0
Joshua Dobbs,,28.0,QB,13.0,12.0,262.0,417.0,2464.0,13.0,10.0,79.5,77.0,421.0,6.0
Kirk Cousins,,35.0,QB,8.0,8.0,216.0,311.0,2331.0,18.0,5.0,103.8,14.0,25.0,0.0
Joe Burrow,,27.0,QB,10.0,10.0,244.0,365.0,2309.0,15.0,6.0,91.0,31.0,88.0,0.0
Zach Wilson,,24.0,QB,12.0,11.0,221.0,368.0,2271.0,8.0,7.0,77.2,36.0,211.0,0.0
Aidan O'Connell,,25.0,QB,11.0,10.0,213.0,343.0,2218.0,12.0,7.0,83.9,17.0,11.0,1.0
Mac Jones,,25.0,QB,11.0,11.0,224.0,345.0,2120.0,10.0,12.0,77.0,26.0,96.0,0.0
Kenny Pickett,,25.0,QB,12.0,12.0,201.0,324.0,2070.0,6.0,4.0,81.4,42.0,54.0,1.0
Jake Browning,,27.0,QB,9.0,7.0,171.0,243.0,1936.0,12.0,7.0,98.4,27.0,127.0,3.0
Will Levis,,24.0,QB,9.0,9.0,149.0,255.0,1808.0,8.0,4.0,84.2,25.0,57.0,1.0
Kyler Murray,,26.0,QB,8.0,8.0,176.0,268.0,1799.0,10.0,5.0,89.4,44.0,244.0,3.0
Joe Flacco,,38.0,QB,5.0,5.0,123.0,204.0,1616.0,13.0,8.0,90.2,9.0,2.0,0.0
Ryan Tannehill,,35.0,QB,10.0,8.0,149.0,230.0,1616.0,4.0,7.0,78.5,17.0,74.0,1.0
Joshua Dobbs,,28.0,QB,8.0,8.0,167.0,266.0,1569.0,8.0,5.0,81.2,30.0,163.0,3.0
Joshua Dobbs,,28.0,QB,8.0,8.0,167.0,266.0,1569.0,8.0,5.0,81.2,47.0,258.0,3.0
Joshua Dobbs,,28.0,QB,8.0,8.0,167.0,266.0,1569.0,8.0,5.0,81.2,77.0,421.0,6.0
Tyrod Taylor,,34.0,QB,11.0,5.0,116.0,180.0,1341.0,5.0,3.0,89.1,38.0,197.0,0.0
Nick Mullens,,28.0,QB,5.0,3.0,100.0,148.0,1306.0,7.0,8.0,88.4,10.0,25.0,0.0
Bailey Zappe,,24.0,QB,10.0,6.0,127.0,212.0,1272.0,6.0,9.0,68.7,17.0,83.0,1.0
Jimmy Garoppolo,,32.0,QB,7.0,6.0,110.0,169.0,1205.0,7.0,9.0,77.7,20.0,39.0,0.0
Easton Stick,,28.0,QB,5.0,4.0,111.0,174.0,1129.0,3.0,1.0,85.6,27.0,144.0,1.0
Deshaun Watson,,28.0,QB,6.0,6.0,105.0,171.0,1115.0,7.0,4.0,84.3,26.0,142.0,1.0
Tommy DeVito,,25.0,QB,9.0,6.0,114.0,178.0,1101.0,8.0,3.0,89.2,36.0,195.0,1.0
Daniel Jones,,26.0,QB,6.0,6.0,108.0,160.0,909.0,2.0,6.0,70.5,40.0,206.0,1.0
Joshua Dobbs,,28.0,QB,5.0,4.0,95.0,151.0,895.0,5.0,5.0,76.4,30.0,163.0,3.0
Joshua Dobbs,,28.0,QB,5.0,4.0,95.0,151.0,895.0,5.0,5.0,76.4,77.0,421.0,6.0
Joshua Dobbs,,28.0,QB,5.0,4.0,95.0,151.0,895.0,5.0,5.0,76.4,47.0,258.0,3.0
