Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards
15.0,C.J. Stroud,22.0,HOU,QB,15.0,15.0,319.0,499.0,4484.0,9.0,2346.0,7.4,4.7,1762.0,5.5,9.0,16.0,6.0,18.0,3.8,95.0,19.9,357.0,74.8,2.5,126.0,47.0,38.0,123.0,22.0,23.0,6.4,34.0,344.0,31.0,343.0,1.0,1.0,94.0,1036.0,"PB,AP MVP-8,AP ORoY-1"
16.0,Gardner Minshew II,27.0,IND,QB,17.0,13.0,305.0,490.0,3580.0,7.3,1739.0,5.7,3.5,1566.0,5.1,16.0,25.0,0.0,26.0,5.6,70.0,15.1,345.0,74.2,2.4,169.0,32.0,30.0,96.0,17.6,20.0,5.5,99.0,641.0,89.0,610.0,4.0,31.0,61.0,466.0,PB
17.0,Lamar Jackson,26.0,BAL,QB,16.0,16.0,307.0,457.0,3831.0,8.4,1926.0,6.3,4.2,1752.0,5.7,9.0,15.0,1.0,22.0,5.0,73.0,16.6,326.0,73.9,2.7,169.0,22.0,29.0,88.0,15.7,65.0,6.4,115.0,1046.0,86.0,893.0,25.0,153.0,58.0,525.0,"PB,AP-1,AP MVP-1,AP OPoY-4,AP CPoY-9"
18.0,Justin Herbert,25.0,LAC,QB,13.0,13.0,297.0,456.0,3479.0,7.6,1571.0,5.3,3.4,1563.0,5.3,11.0,11.0,0.0,22.0,4.9,71.0,16.0,339.0,76.2,2.4,158.0,36.0,42.0,107.0,20.9,27.0,8.4,68.0,435.0,60.0,402.0,7.0,33.0,80.0,517.0,
19.0,Russell Wilson,35.0,DEN,QB,15.0,15.0,297.0,447.0,3193.0,7.1,1335.0,4.5,3.0,1735.0,5.8,11.0,26.0,4.0,17.0,4.1,55.0,13.2,325.0,77.9,2.7,144.0,42.0,48.0,135.0,25.5,38.0,7.3,30.0,296.0,22.0,235.0,8.0,61.0,94.0,673.0,
20.0,Brock Purdy,24.0,SFO,QB,16.0,16.0,308.0,444.0,3623.0,8.2,2226.0,7.2,5.0,2054.0,6.7,13.0,12.0,3.0,9.0,2.1,70.0,16.3,324.0,75.5,2.6,142.0,28.0,42.0,98.0,20.1,16.0,7.8,24.0,236.0,20.0,227.0,1.0,9.0,93.0,969.0,"PB,AP MVP-4,AP OPoY-6,AP CPoY-6"
21.0,Desmond Ridder,24.0,ATL,QB,15.0,13.0,249.0,388.0,3183.0,8.2,1614.0,6.5,4.2,1222.0,4.9,12.0,11.0,2.0,17.0,4.5,55.0,14.7,283.0,75.5,2.3,90.0,26.0,28.0,85.0,19.4,19.0,6.8,65.0,472.0,53.0,427.0,11.0,45.0,100.0,775.0,
22.0,Justin Fields,24.0,CHI,QB,13.0,13.0,227.0,370.0,2966.0,8.0,1338.0,5.9,3.6,1224.0,5.4,11.0,25.0,0.0,13.0,3.8,58.0,16.8,252.0,73.0,2.8,143.0,44.0,33.0,121.0,26.5,43.0,8.4,60.0,480.0,39.0,397.0,16.0,83.0,73.0,534.0,
23.0,Zach Wilson,24.0,NYJ,QB,12.0,11.0,221.0,368.0,2672.0,7.3,1158.0,5.2,3.1,1113.0,5.0,8.0,20.0,3.0,22.0,6.4,54.0,15.7,267.0,77.4,2.5,113.0,47.0,41.0,134.0,30.5,25.0,8.6,15.0,69.0,14.0,69.0,0.0,0.0,74.0,635.0,
24.0,Joe Burrow,27.0,CIN,QB,10.0,10.0,244.0,365.0,2315.0,6.3,1070.0,4.4,2.9,1239.0,5.1,10.0,11.0,1.0,21.0,5.9,52.0,14.7,267.0,75.6,2.2,83.0,13.0,37.0,74.0,18.4,14.0,6.5,55.0,263.0,54.0,262.0,1.0,1.0,35.0,361.0,
