rush_rk,player,rush_age,rush_g,rush_gs,rush_att,rush_yds,rush_td,rush_1d,rush_succ%,rush_lng,rush_y/a,rush_y/g,rush_a/g,rush_fmb,rush_awards,rec_rk,rec_age,rec_g,rec_gs,rec_tgt,rec_rec,rec_yds,rec_y/r,rec_td,rec_1d,rec_succ%,rec_lng,rec_r/g,rec_y/g,rec_ctch%,rec_y/tgt,rec_fmb,rec_awards
323.0,Cody Schrader,25.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,,454.0,25.0,1.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,100.0,6.0,1.0,6.0,100.0,6.0,0.0,
111.0,Cordarrelle Patterson,33.0,13.0,1.0,32.0,135.0,0.0,7.0,43.8,14.0,4.2,10.4,2.5,1.0,,260.0,33.0,13.0,1.0,14.0,12.0,80.0,6.7,1.0,5.0,50.0,20.0,0.9,6.2,85.7,5.7,1.0,
113.0,Craig Reynolds,28.0,17.0,0.0,31.0,139.0,0.0,6.0,54.8,19.0,4.5,8.2,1.8,1.0,,382.0,28.0,17.0,0.0,5.0,3.0,40.0,13.3,0.0,2.0,60.0,26.0,0.2,2.4,60.0,8.0,1.0,
10.0,D'Andre Swift,25.0,17.0,17.0,253.0,959.0,6.0,43.0,43.9,56.0,3.8,56.4,14.9,2.0,,107.0,25.0,17.0,17.0,52.0,42.0,386.0,9.2,0.0,12.0,51.9,42.0,2.5,22.7,80.8,7.4,2.0,
110.0,D'Ernest Johnson,28.0,14.0,1.0,32.0,143.0,0.0,7.0,50.0,22.0,4.5,10.2,2.3,0.0,,254.0,28.0,14.0,1.0,19.0,12.0,96.0,8.0,0.0,3.0,26.3,26.0,0.9,6.9,63.2,5.1,0.0,
65.0,D'Onta Foreman,28.0,11.0,3.0,71.0,232.0,0.0,10.0,39.4,25.0,3.3,21.1,6.5,2.0,,325.0,28.0,11.0,3.0,8.0,6.0,54.0,9.0,0.0,1.0,37.5,16.0,0.5,4.9,75.0,6.8,2.0,
184.0,Dalvin Cook,29.0,2.0,0.0,8.0,20.0,0.0,0.0,37.5,4.0,2.5,10.0,4.0,0.0,,416.0,29.0,2.0,0.0,1.0,1.0,10.0,10.0,0.0,1.0,100.0,10.0,0.5,5.0,100.0,10.0,0.0,
98.0,Dameon Pierce,24.0,11.0,0.0,40.0,293.0,2.0,7.0,42.5,92.0,7.3,26.6,3.6,1.0,,400.0,24.0,11.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.2,0.2,50.0,0.5,1.0,
116.0,Dare Ogunbowale,30.0,17.0,1.0,30.0,112.0,0.0,5.0,36.7,35.0,3.7,6.6,1.8,0.0,,213.0,30.0,17.0,1.0,28.0,19.0,198.0,10.4,1.0,8.0,35.7,31.0,1.1,11.6,67.9,7.1,0.0,
237.0,Darrynton Evans,26.0,5.0,0.0,3.0,3.0,0.0,0.0,33.3,4.0,1.0,0.6,0.6,0.0,,499.0,26.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,
