player,predicted_rec_yds,predicted_rec_tds,predicted_receptions,predicted_fantasy_points,potential_score,avg_fantasy,std_fantasy,games_played,consistency_score,prior_stat_score,final_grade,grade_label
Diontae Johnson,296.56,3.15,30.28,127.4513333333334,32.974997563661745,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,53.9,Depth
Diontae Johnson,146.63,5.707268759018758,28.15,71.09099999999995,18.39310339474629,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,48.1,Depth
Diontae Johnson,146.63,5.757268759018758,28.24,71.20099999999994,18.421563275370023,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,48.1,Depth
Diontae Johnson,355.29,3.01,32.61,99.85399999999998,25.83484472547857,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,51.0,Depth
Diontae Johnson,295.81,3.15,30.19,128.58947619047626,33.26946492590761,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,54.0,Depth
Diontae Johnson,153.89,5.775602092352091,28.12,71.84599999999996,18.588441666300124,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,48.1,Depth
Diontae Johnson,153.89,5.825602092352092,28.21,71.92299999999996,18.60836358273674,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,48.1,Depth
Diontae Johnson,355.29,3.01,32.61,99.85399999999998,25.83484472547857,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,51.0,Depth
Diontae Johnson,295.81,3.15,30.19,128.58947619047626,33.26946492590761,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,54.0,Depth
Diontae Johnson,153.89,5.775602092352091,28.12,71.84599999999996,18.588441666300124,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,48.1,Depth
Diontae Johnson,153.89,5.825602092352092,28.21,71.92299999999996,18.60836358273674,113.0,35.61834733205159,4.0,68.47933892314603,67.36214605067065,48.1,Depth
Dontayvion Wicks,418.66,5.0,38.78,109.45899999999996,28.31990975630579,63.0,0.0,1.0,100.0,37.5558867362146,49.5,Depth
Drake London,1272.97,9.0,100.11,283.75299999999964,73.41433187842964,110.33333333333333,38.552993831002716,3.0,65.05770983542615,65.77247888723299,68.7,Flex
Dyami Brown,322.09,1.04,28.39,83.40599999999995,21.5793163936674,,,,,,21.1,Risky
Elijah Moore,537.8,0.92,60.87,115.24900000000004,29.817934381864337,75.0,5.656854249492381,2.0,92.45752776790978,44.70938897168406,50.7,Depth
Erik Ezukanma,161.19,5.872268759018758,25.27,71.50499999999997,18.50021603636654,,,,,,19.9,Risky
Gabriel Davis,266.07,3.37,26.14,83.55999999999996,21.619160226540636,81.25,8.808140174482544,4.0,89.15921222636965,48.43517138599106,47.9,Depth
Garrett Wilson,1104.27,7.0,100.86,253.61200000000005,65.61606586133829,121.0,19.28730152198591,3.0,84.06008151852336,72.1311475409836,72.5,Starter
George Pickens,897.9,3.0,59.0,171.5519999999999,44.38499491603039,84.0,8.18535277187245,3.0,90.25553253044313,50.074515648286145,57.8,Depth
Grant Dubose,155.21,5.825602092352092,25.21,71.94199999999995,18.61327938029902,,,,,,19.9,Risky
Greg Dortch,330.81,3.17,36.86,97.82399999999994,25.309630564876866,64.0,0.0,1.0,100.0,38.152011922503725,48.5,Depth
Irvin Charles,194.44,1.1142857142857143,25.34,69.62399999999998,18.01355207770064,,,,,,19.7,Risky
Isaiah Hodgins,157.85,5.902268759018758,25.2,75.36799999999998,19.499675298634696,,,,,,20.3,Risky
Isaiah Williams,156.53,5.825602092352092,25.25,72.34299999999996,18.717028581481916,,,,,,20.0,Risky
Ja'Lynn Polk,181.59,3.66,25.46,71.96799999999995,18.620006261173717,,,,,,19.9,Risky
Ja'Marr Chase,1716.44,16.18,126.3,386.50900000000007,100.0,167.75,41.660332851926825,4.0,75.16522646582469,100.0,93.8,Elite
Jacob Cowing,193.61,0.8142857142857143,25.02,71.67399999999996,18.5439407620521,,,,,,19.9,Risky
Jaelon Darden,154.85,1.06,25.22,73.20399999999997,18.939791828909534,,,,,,20.1,Risky
Jahan Dotson,209.39,0.73,25.12,78.96499999999997,20.430313395030893,75.0,2.8284271247461903,2.0,96.2287638839549,44.70938897168406,47.9,Depth
