rk,player,age,team,pos,g,gs,att,yds,td,1d,succ%,lng,y/a,y/g,a/g,fmb,awards
95.0,Joe Burrow,28.0,CIN,QB,17.0,17.0,42.0,201.0,2.0,16.0,47.6,47.0,4.8,11.8,2.5,11.0,"PB,AP MVP-4,AP OPoY-5,AP CPoY-1"
96.0,Deebo Samuel,28.0,SFO,WR,15.0,15.0,42.0,136.0,1.0,5.0,45.2,13.0,3.2,9.1,2.8,2.0,
97.0,Ty Johnson,27.0,BUF,RB,17.0,1.0,41.0,213.0,1.0,13.0,65.9,19.0,5.2,12.5,2.4,0.0,
98.0,Dameon Pierce,24.0,HOU,RB,11.0,0.0,40.0,293.0,2.0,7.0,42.5,92.0,7.3,26.6,3.6,1.0,
99.0,Taysom Hill,34.0,NOR,TE,8.0,8.0,39.0,278.0,6.0,18.0,64.1,75.0,7.1,34.8,4.9,1.0,
100.0,Sincere McCormick,24.0,LVR,RB,5.0,2.0,39.0,183.0,0.0,10.0,53.8,29.0,4.7,36.6,7.8,0.0,
101.0,Kendre Miller,22.0,NOR,RB,6.0,2.0,39.0,148.0,1.0,11.0,48.7,17.0,3.8,24.7,6.5,0.0,
102.0,Patrick Taylor,26.0,SFO,RB,13.0,1.0,39.0,183.0,1.0,11.0,53.8,29.0,4.7,14.1,3.0,0.0,
103.0,Chris Brooks,24.0,GNB,RB,15.0,0.0,36.0,183.0,1.0,12.0,55.6,23.0,5.1,12.2,2.4,0.0,
104.0,Khalil Herbert,26.0,2TM,RB,14.0,1.0,36.0,130.0,1.0,10.0,55.6,14.0,3.6,9.3,2.6,1.0,
104.0,Khalil Herbert,26.0,CHI,RB,6.0,0.0,8.0,16.0,1.0,3.0,62.5,6.0,2.0,2.7,1.3,0.0,
104.0,Khalil Herbert,26.0,CIN,RB,8.0,1.0,28.0,114.0,0.0,7.0,53.6,14.0,4.1,14.3,3.5,1.0,
105.0,Michael Carter,25.0,ARI,RB,3.0,1.0,35.0,131.0,1.0,9.0,57.1,13.0,3.7,43.7,11.7,0.0,
106.0,Jared Goff,30.0,DET,QB,17.0,17.0,35.0,56.0,0.0,9.0,34.3,10.0,1.6,3.3,2.1,6.0,"PB,AP MVP-5,AP OPoY-9"
107.0,Chris Rodriguez,24.0,WAS,RB,9.0,0.0,35.0,173.0,2.0,10.0,74.3,25.0,4.9,19.2,3.9,0.0,
108.0,Hassan Haskins,25.0,LAC,RB,17.0,0.0,34.0,89.0,2.0,13.0,50.0,12.0,2.6,5.2,2.0,1.0,
109.0,Tyler Goodson,24.0,IND,RB,16.0,0.0,32.0,153.0,1.0,6.0,46.9,33.0,4.8,9.6,2.0,0.0,
110.0,D'Ernest Johnson,28.0,JAX,RB,14.0,1.0,32.0,143.0,0.0,7.0,50.0,22.0,4.5,10.2,2.3,0.0,
111.0,Cordarrelle Patterson,33.0,PIT,RB,13.0,1.0,32.0,135.0,0.0,7.0,43.8,14.0,4.2,10.4,2.5,1.0,
112.0,Kenny McIntosh,24.0,SEA,RB,17.0,0.0,31.0,172.0,0.0,8.0,51.6,25.0,5.5,10.1,1.8,0.0,
113.0,Craig Reynolds,28.0,DET,RB,17.0,0.0,31.0,139.0,0.0,6.0,54.8,19.0,4.5,8.2,1.8,1.0,
114.0,Deshaun Watson,29.0,CLE,QB,7.0,7.0,31.0,148.0,1.0,8.0,41.9,16.0,4.8,21.1,4.4,5.0,
115.0,Isaiah Davis,22.0,NYJ,RB,17.0,0.0,30.0,174.0,1.0,10.0,63.3,20.0,5.8,10.2,1.8,0.0,
116.0,Dare Ogunbowale,30.0,HOU,RB,17.0,1.0,30.0,112.0,0.0,5.0,36.7,35.0,3.7,6.6,1.8,0.0,
117.0,Will Shipley,22.0,PHI,RB,16.0,1.0,30.0,82.0,0.0,2.0,26.7,9.0,2.7,5.1,1.9,0.0,
118.0,Matthew Stafford,36.0,LAR,QB,16.0,16.0,30.0,41.0,0.0,10.0,36.7,15.0,1.4,2.6,1.9,6.0,
119.0,Mac Jones,26.0,JAX,QB,10.0,7.0,28.0,92.0,1.0,12.0,50.0,13.0,3.3,9.2,2.8,2.0,
120.0,Tyler Huntley,26.0,MIA,QB,5.0,5.0,26.0,135.0,2.0,10.0,50.0,20.0,5.2,27.0,5.2,6.0,
121.0,Trevor Lawrence,25.0,JAX,QB,10.0,10.0,26.0,119.0,3.0,13.0,57.7,33.0,4.6,11.9,2.6,3.0,
122.0,Cooper Rush,31.0,DAL,QB,12.0,8.0,26.0,18.0,0.0,5.0,26.9,9.0,0.7,1.5,2.2,9.0,
123.0,Pierre Strong,26.0,CLE,RB,14.0,0.0,26.0,108.0,0.0,6.0,46.2,19.0,4.2,7.7,1.9,0.0,
124.0,Jordan Love,26.0,GNB,QB,15.0,15.0,25.0,83.0,1.0,9.0,44.0,14.0,3.3,5.5,1.7,4.0,
125.0,Mason Rudolph,29.0,TEN,QB,8.0,5.0,25.0,106.0,1.0,13.0,60.0,14.0,4.2,13.3,3.1,5.0,
126.0,Jameis Winston,30.0,CLE,QB,12.0,7.0,25.0,83.0,1.0,17.0,76.0,13.0,3.3,6.9,2.1,5.0,
127.0,Emari Demercado,25.0,ARI,RB,13.0,0.0,24.0,223.0,1.0,8.0,50.0,53.0,9.3,17.2,1.8,0.0,
128.0,Kirk Cousins,36.0,ATL,QB,14.0,14.0,23.0,0.0,0.0,2.0,13.0,,0.0,0.0,1.6,13.0,AP CPoY-13
129.0,Julius Chestnut,24.0,TEN,RB,17.0,0.0,22.0,102.0,0.0,2.0,45.5,12.0,4.6,6.0,1.3,0.0,
130.0,Ronnie Rivers,25.0,LAR,RB,17.0,0.0,22.0,99.0,0.0,6.0,54.5,12.0,4.5,5.8,1.3,0.0,
131.0,Aaron Rodgers,41.0,NYJ,QB,17.0,17.0,22.0,107.0,0.0,7.0,40.9,18.0,4.9,6.3,1.3,5.0,AP CPoY-7
132.0,Aidan O'Connell,26.0,LVR,QB,9.0,7.0,21.0,30.0,1.0,10.0,52.4,13.0,1.4,3.3,2.3,2.0,
133.0,Dorian Thompson-Robinson,25.0,CLE,QB,7.0,2.0,21.0,122.0,0.0,9.0,61.9,34.0,5.8,17.4,3.0,3.0,
134.0,Jamycal Hasty,28.0,NWE,RB,15.0,0.0,20.0,69.0,0.0,4.0,45.0,15.0,3.5,4.6,1.3,0.0,
135.0,Jordan Mims,25.0,NOR,RB,11.0,0.0,20.0,70.0,0.0,2.0,40.0,9.0,3.5,6.4,1.8,0.0,
136.0,Samaje Perine,29.0,KAN,RB,17.0,0.0,20.0,92.0,1.0,7.0,55.0,13.0,4.6,5.4,1.2,0.0,
137.0,Jayden Reed,24.0,GNB,WR,17.0,10.0,20.0,163.0,1.0,7.0,65.0,33.0,8.2,9.6,1.2,3.0,
138.0,Malik Willis,25.0,GNB,QB,7.0,2.0,20.0,138.0,1.0,6.0,50.0,29.0,6.9,19.7,2.9,1.0,
139.0,Xavier Worthy,21.0,KAN,WR,17.0,13.0,20.0,104.0,3.0,4.0,75.0,21.0,5.2,6.1,1.2,0.0,
140.0,Gardner Minshew II,28.0,LVR,QB,10.0,9.0,19.0,58.0,0.0,5.0,36.8,11.0,3.1,5.8,1.9,6.0,
141.0,Drew Lock,28.0,NYG,QB,8.0,5.0,18.0,133.0,2.0,9.0,50.0,28.0,7.4,16.6,2.3,5.0,
142.0,Marcus Mariota,31.0,WAS,QB,3.0,0.0,18.0,92.0,1.0,6.0,50.0,33.0,5.1,30.7,6.0,0.0,
143.0,Spencer Rattler,24.0,NOR,QB,7.0,6.0,18.0,146.0,0.0,7.0,72.2,28.0,8.1,20.9,2.6,5.0,
144.0,Derek Carr,33.0,NOR,QB,10.0,10.0,17.0,71.0,1.0,4.0,52.9,13.0,4.2,7.1,1.7,3.0,
145.0,Tua Tagovailoa,26.0,MIA,QB,11.0,11.0,17.0,49.0,0.0,5.0,41.2,13.0,2.9,4.5,1.5,7.0,
146.0,Mitchell Trubisky,30.0,BUF,QB,9.0,0.0,17.0,1.0,0.0,1.0,11.8,8.0,0.1,0.1,1.9,1.0,
147.0,Deuce Vaughn,23.0,DAL,RB,7.0,0.0,17.0,70.0,0.0,2.0,41.2,12.0,4.1,10.0,2.4,0.0,
148.0,KaVontae Turpin,28.0,DAL,WR,17.0,2.0,16.0,92.0,0.0,6.0,56.3,16.0,5.8,5.4,0.9,3.0,"PB,AP-1"
149.0,Jeff Wilson,29.0,MIA,RB,9.0,0.0,16.0,57.0,0.0,3.0,43.8,14.0,3.6,6.3,1.8,0.0,
150.0,Raheem Blackshear,25.0,CAR,RB,16.0,1.0,15.0,80.0,0.0,2.0,46.7,26.0,5.3,5.0,0.9,2.0,
151.0,Jacoby Brissett,32.0,NWE,QB,8.0,5.0,15.0,62.0,0.0,5.0,53.3,16.0,4.1,7.8,1.9,4.0,
152.0,Keaton Mitchell,22.0,BAL,RB,5.0,0.0,15.0,30.0,0.0,2.0,40.0,7.0,2.0,6.0,3.0,0.0,
153.0,Eric Gray,25.0,NYG,RB,17.0,0.0,14.0,31.0,0.0,1.0,28.6,6.0,2.2,1.8,0.8,3.0,
154.0,CeeDee Lamb,25.0,DAL,WR,15.0,15.0,14.0,70.0,0.0,4.0,42.9,18.0,5.0,4.7,0.9,1.0,"PB,AP-2"
155.0,D.J. Moore,27.0,CHI,WR,17.0,17.0,14.0,75.0,0.0,3.0,71.4,14.0,5.4,4.4,0.8,1.0,
156.0,Mike Boone,29.0,CAR,RB,6.0,0.0,13.0,51.0,0.0,3.0,61.5,9.0,3.9,8.5,2.2,0.0,
157.0,Clyde Edwards-Helaire,25.0,NOR,RB,2.0,0.0,13.0,46.0,0.0,2.0,46.2,12.0,3.5,23.0,6.5,0.0,
158.0,Terrell Jennings,23.0,NWE,RB,3.0,0.0,13.0,33.0,0.0,0.0,23.1,7.0,2.5,11.0,4.3,0.0,
159.0,Jase McClellan,22.0,ATL,RB,2.0,0.0,13.0,32.0,0.0,2.0,46.2,8.0,2.5,16.0,6.5,0.0,
160.0,Marvin Mims,22.0,DEN,WR,17.0,2.0,13.0,42.0,0.0,3.0,38.5,17.0,3.2,2.5,0.8,1.0,"PB,AP-1"
161.0,Dak Prescott,31.0,DAL,QB,8.0,8.0,13.0,54.0,1.0,5.0,61.5,22.0,4.2,6.8,1.6,4.0,
162.0,Derius Davis,24.0,LAC,WR,15.0,2.0,12.0,39.0,0.0,2.0,50.0,10.0,3.3,2.6,0.8,3.0,
163.0,Hunter Luepke,24.0,DAL,RB,16.0,4.0,12.0,38.0,0.0,6.0,50.0,10.0,3.2,2.4,0.8,0.0,
164.0,Tyler Badie,24.0,DEN,RB,3.0,0.0,11.0,86.0,0.0,4.0,54.5,43.0,7.8,28.7,3.7,1.0,
