player,predicted_rush_yds,predicted_rush_tds,predicted_rec_yds,predicted_rec_tds,predicted_receptions,predicted_fantasy_points,normalized_projected,potential_score,avg_fantasy,std_fantasy,games_played,consistency_score,prior_stat_score,final_grade,grade_label
MarShawn Lloyd,111.31,1.8775,14.25,0.0,6.69,67.09391666666671,19.282867792535523,19.282867792535523,,,,,,20.2,Risky
Michael Carter,140.83,2.0564761904761903,52.54,0.0199999999999999,12.456666666666669,71.7863095238095,20.63146682491063,20.63146682491063,60.0,0.0,1.0,100.0,41.37931034482759,47.7,Depth
Mike Boone,109.86,1.9180952380952383,15.17,0.0,6.28,67.6371666666667,19.438998459050914,19.438998459050914,,,,,,20.3,Risky
Miles Sanders,242.94,1.95,151.18,1.090833333333333,23.961166666666667,84.48221428571428,24.280284261619595,24.280284261619595,52.25,27.909078570720794,4.0,46.585496580716246,36.03448275862069,34.0,Risky
Myles Gaskin,119.77,1.9326080586080587,15.34,0.4050000000000001,6.05,66.61482142857143,19.145175277398536,19.145175277398536,81.0,14.142135623730951,2.0,82.54057351958434,55.86206896551724,47.8,Depth
Najee Harris,1041.64,5.965,282.89,0.0,36.01,208.53549999999996,59.93333935963327,59.93333935963327,96.0,28.319604517012593,4.0,70.50041226873259,66.20689655172414,64.8,Flex
Nick Chubb,310.51,3.33,30.59,1.1624761904761904,6.5,92.79711111111108,26.66999504552374,26.66999504552374,89.0,15.524174696260024,3.0,82.55710727884147,61.37931034482759,52.8,Depth
Patrick Taylor,214.05,1.71,27.56,0.0,6.42,73.16300000000005,21.02712923012558,21.02712923012558,,,,,,20.9,Risky
Pierre Strong,168.83,1.29,96.32,0.01,14.653333333333332,81.04283333333333,23.29180227267236,23.29180227267236,,,,,,21.8,Risky
Rachaad White,613.1,3.0,392.13,5.9,50.99,194.61299999999997,55.93199705947577,55.93199705947577,111.5,9.192388155425117,2.0,91.75570576414155,76.89655172413794,72.2,Starter
Raheem Blackshear,172.04,1.3758333333333332,18.02,0.0,6.2,73.80336904761909,21.21117202114369,21.21117202114369,,,,,,21.0,Risky
Raheem Mostert,269.94,1.89,160.32,0.0,17.54438095238095,86.68254761904765,24.91266255870082,24.91266255870082,82.0,61.26173356998641,3.0,25.29056972818036,56.55172413793104,36.1,Risky
Rasheen Ali,123.36,1.8267857142857145,15.25,0.0,6.21,69.27316666666673,19.909186715690005,19.909186715690005,,,,,,20.5,Risky
Ray Davis,442.38,3.0,188.53,3.0,16.68933333333333,112.45800000000014,32.32055682464448,32.32055682464448,53.0,0.0,1.0,100.0,36.55172413793103,50.7,Depth
Rhamondre Stevenson,800.26,6.985,168.31,0.9748333333333332,32.9,179.2949999999999,51.529586475614195,51.529586475614195,73.0,26.14064523559687,4.0,64.19089742807418,50.3448275862069,54.3,Depth
